wall_clock,board_ms,seq,board_drops,pc_gaps,board_bad,board_miss,board_dspmax_us,srv_bad,free_heap,marker,event
17:26:17,1393545,0,56359,56359,0,0,0,0,172096,0,
17:26:18,1394547,0,56359,56359,0,0,0,0,173680,0,
17:26:19,1394547,30,56359,56359,0,0,0,0,173680,30,marker
17:26:19,1395548,0,56359,56359,0,0,0,0,173680,30,
17:26:19,1395548,0,56359,56359,0,0,0,0,173680,0,marker
17:26:19,1395548,40,56359,56359,0,0,0,0,173680,40,marker
17:26:19,1395548,0,56359,56359,0,0,0,0,173680,0,marker
17:26:20,1396549,0,56359,56359,0,0,0,0,168772,0,
17:26:21,1397550,0,56359,56359,0,0,0,0,175264,0,
17:26:22,1397550,20,56359,56359,0,0,0,0,175264,20,marker
17:26:22,1398551,0,56359,56359,0,0,0,0,175264,20,
17:26:22,1398551,0,56359,56359,0,0,0,0,175264,0,marker
17:26:23,1399553,0,56359,56359,0,0,0,0,172096,0,
17:26:24,1400554,0,56359,56359,0,0,0,0,167532,0,
17:26:25,1401556,0,56359,56359,0,0,0,0,173332,0,
17:26:26,1402558,0,56359,56359,0,0,0,0,173332,0,
17:26:27,1403561,0,56359,56359,0,0,0,0,173332,0,
17:26:28,1404562,0,56359,56359,0,0,0,0,161736,0,
17:26:29,1405564,0,56359,56359,0,0,0,0,169816,0,
17:26:30,1406577,0,56359,56359,0,0,0,0,173332,0,
17:26:31,1407578,0,56359,56359,0,0,0,0,175268,0,
17:26:32,1407578,30,56359,56359,0,0,0,0,175268,30,marker
17:26:32,1408580,0,56359,56359,0,0,0,0,171748,30,
17:26:32,1408580,0,56359,56359,0,0,0,0,171748,0,marker
17:26:32,1408580,40,56359,56359,0,0,0,0,171748,40,marker
17:26:32,1408580,0,56359,56359,0,0,0,0,171748,0,marker
17:26:33,1409584,0,56359,56359,0,0,0,0,173332,0,
17:26:34,1410586,0,56359,56359,0,0,0,0,167880,0,
17:26:35,1410586,21,56359,56359,0,0,0,0,167880,21,marker
17:26:35,1411587,0,56359,56359,0,0,0,0,175264,21,
17:26:35,1411587,0,56359,56359,0,0,0,0,175264,0,marker
17:26:36,1412589,0,56359,56359,0,0,0,0,165600,0,
17:26:37,1413590,0,56359,56359,0,0,0,0,173680,0,
17:26:38,1414591,0,56359,56359,0,0,0,0,162084,0,
17:26:39,1415592,0,56359,56359,0,0,0,0,172096,0,
17:26:40,1416595,0,56359,56359,0,0,0,0,173676,0,
