session,actual_freq,test_freq,window_sec,channel_set,n_harmonics,mean_stim,mean_rest,cohens_d,pval,accuracy
16Hz,16,16,1.0,ch_P3,1,2.0331830655429353,2.1638018050123256,-0.023707688118246476,0.5456023823349129,0.4444444444444444
16Hz,16,16,1.0,ch_O2,1,2.205297120743484,1.6640835468370383,0.1154493773116683,0.09011830179021951,0.49382716049382713
16Hz,16,16,1.0,ch_O1,1,2.4821758500576716,1.9413968359485594,0.11693135529408322,7.677394445194361e-07,0.5925925925925926
16Hz,16,16,1.0,occipital_only,1,2.3437364854005773,1.8027401913927985,0.14845730989937278,1.5126968585780615e-05,0.5185185185185185
16Hz,16,16,1.0,parietal_only,1,1.994012599034984,2.0549595024003358,-0.020524771058692676,0.31250232577612436,0.5308641975308642
16Hz,16,16,1.0,all_8,1,2.7100795638683817,1.7839262494871158,0.3236648638133388,9.373061757605436e-21,0.5555555555555556
16Hz,16,16,1.5,ch_CZ,1,1.8757544618855648,1.2942014399610067,0.24543358115715538,0.14736763004275621,0.43209876543209874
16Hz,16,16,1.5,ch_PZ,1,1.5258236981939235,1.6586087406413954,-0.0628079241397753,0.9502349822657642,0.4691358024691358
16Hz,16,16,1.5,ch_P4,1,4.825866761815279,1.0299982526926568,0.6254895162463114,3.4535857908311196e-49,0.6296296296296297
16Hz,16,16,1.5,ch_T6,1,2.732385979427333,1.2090838515689504,0.34827170989804734,2.0019827638145325e-19,0.5925925925925926
16Hz,16,16,1.5,ch_T5,1,1.80885694555126,1.3211359785557202,0.18283752576157564,6.136203602777104e-06,0.5802469135802469
16Hz,16,16,1.5,ch_P3,1,1.3816661536442898,1.366324837695447,0.0076516334452019314,0.3425967361210056,0.5432098765432098
16Hz,16,16,1.5,ch_O2,1,1.518399814191243,1.238548597995877,0.1410139262205597,0.3033286507844812,0.49382716049382713
16Hz,16,16,1.5,ch_O1,1,2.0428055214267173,1.3759212242389531,0.1919127943018962,4.328882628991866e-07,0.6172839506172839
16Hz,16,16,1.5,occipital_only,1,1.7806026678089801,1.3072349111174149,0.21948013963659943,6.714890076947792e-06,0.5185185185185185
16Hz,16,16,1.5,parietal_only,1,1.5721155991298243,1.448689852297521,0.08630042864563518,0.06648773720089239,0.5185185185185185
